Symbol,Name,Last Sale,Net Change,% Change,Market Cap
DTOC,Digital Transformation Opportunities Corp. Class A Common Stock,$10.05,0.005,0.05%,"418,959,375"
BYTS,BYTE Acquisition Corp. Class A Ordinary Shares,$10.08,UNCH,--,"418,234,965"
AXGN,"Axogen, Inc. Common Stock",$9.88,-0.10,-1.002%,"417,791,509"
SLDP,"Solid Power, Inc. Class A Common Stock",$2.37,-0.17,-6.693%,"416,680,043"
VERU,Veru Inc. Common Stock,$5.14,-0.14,-2.652%,"414,402,878"
ATXS,"Astria Therapeutics, Inc. Common Stock",$15.04,0.15,1.007%,"413,547,044"
THCH,TH International Limited Ordinary shares,$2.77,-0.01,-0.36%,"413,232,860"
GNTY,"Guaranty Bancshares, Inc. Common Stock",$34.61,-0.03,-0.087%,"413,228,587"
GATE,Marblegate Acquisition Corp. Class A Common Stock,$10.02,UNCH,--,"412,957,597"
APEN,"Apollo Endosurgery, Inc. Common Stock",$9.90,-0.07,-0.702%,"412,417,279"
IPAX,Inflection Point Acquisition Corp. Class A Ordinary Share,$10.00,UNCH,--,"412,187,500"
SWIM,"Latham Group, Inc. Common Stock",$3.42,0.20,6.211%,"411,858,278"
NKTR,Nektar Therapeutics  Common Stock,$2.19,-0.07,-3.097%,"411,620,316"
FULC,"Fulcrum Therapeutics, Inc. Common Stock",$7.90,0.62,8.516%,"411,206,100"
TPIC,"TPI Composites, Inc. Common Stock",$9.80,-0.34,-3.353%,"411,121,623"
SMMT,Summit Therapeutics Inc. Common Stock ,$5.00,0.75,17.647%,"411,009,800"
CCAP,"Crescent Capital BDC, Inc. Common stock",$13.28,0.50,3.912%,"410,184,141"
SWBI,"Smith & Wesson Brands, Inc. Common Stock",$8.92,0.24,2.765%,"409,404,050"
BELFB,Bel Fuse Inc. Class B Common Stock,$32.75,-0.17,-0.516%,"408,715,055"
PFDR,Pathfinder Acquisition Corporation Class A Ordinary Shares,$10.06,-0.01,-0.099%,"408,687,500"
DXLG,"Destination XL Group, Inc. Common Stock",$6.54,-0.21,-3.111%,"408,548,954"
ONEW,OneWater Marine Inc. Class A Common Stock,$28.52,-0.08,-0.28%,"407,694,655"
ALDX,"Aldeyra Therapeutics, Inc. Common Stock",$6.96,UNCH,--,"407,578,143"
WRLD,World Acceptance Corporation Common Stock,$65.13,-0.81,-1.228%,"407,514,046"
PHVS,Pharvaris N.V. Ordinary Shares,$12.03,0.78,6.933%,"406,466,512"
KOD,Kodiak Sciences Inc Common Stock,$7.77,0.61,8.52%,"406,442,127"
POWL,"Powell Industries, Inc. Common Stock",$34.34,-0.84,-2.388%,"405,949,726"
NEWT,Newtek Business Services Corp. Common Stock (Maryland),$16.60,0.35,2.154%,"405,450,950"
DDI,"DoubleDown Interactive Co., Ltd. American Depository Shares",$8.18,-0.27,-3.195%,"405,347,139"
KVSA,Khosla Ventures Acquisition Co. Class A Common Stock,$9.99,0.01,0.10%,"404,495,100"
DCRD,Decarbonization Plus Acquisition Corporation IV Class A Ordinary Share,$10.22,0.005,0.049%,"404,009,375"
IGIC,International General Insurance Holdings Ltd. Ordinary Share,$8.18,0.18,2.25%,"403,321,591"
CRBU,"Caribou Biosciences, Inc. Common Stock",$6.61,0.33,5.255%,"403,220,318"
PLMI,Plum Acquisition Corp. I Class A Ordinary Share,$10.08,UNCH,--,"402,212,593"
GSRM,GSR II Meteora Acquisition Corp. Class A Common Stock,$10.17,0.0574,0.568%,"402,032,813"
RBB,RBB Bancorp Common Stock,$21.15,0.30,1.439%,"401,126,162"
PRSR,Prospector Capital Corp. Class A Ordinary Shares,$9.87,-0.08,-0.804%,"400,968,750"
AVIR,"Atea Pharmaceuticals, Inc. Common Stock",$4.81,UNCH,--,"400,613,544"
MVIS,"MicroVision, Inc. Common Stock",$2.41,0.06,2.553%,"400,145,051"
BELFA,Bel Fuse Inc. Class A Common Stock,$32.05,-0.1391,-0.432%,"399,979,160"
CMAX,"CareMax, Inc. Class A Common Stock",$3.60,-0.05,-1.37%,"399,229,099"
OABI,"OmniAb, Inc. Common Stock",$3.47,-0.13,-3.611%,"398,986,124"
HCMA,HCM Acquisition Corp Class A Ordinary Shares,$10.26,UNCH,--,"398,216,250"
MMAT,Meta Materials Inc. Common Stock,$1.10,-0.09,-7.563%,"398,123,515"
SDAC,Sustainable Development Acquisition I Corp. Class A Common Stock,$10.06,UNCH,--,"397,684,375"
PRTH,"Priority Technology Holdings, Inc. Common Stock",$5.23,-0.03,-0.57%,"397,492,385"
MARA,"Marathon Digital Holdings, Inc. Common Stock",$3.40,-0.02,-0.585%,"397,263,783"
RSVR,"Reservoir Media, Inc. Common Stock",$6.15,0.18,3.015%,"395,899,510"
CARE,"Carter Bankshares, Inc. Common Stock",$16.41,-0.18,-1.085%,"395,641,506"
PLPC,Preformed Line Products Company Common Stock,$80.40,-2.89,-3.47%,"395,555,216"
AURA,"Aura Biosciences, Inc. Common Stock",$10.67,0.17,1.619%,"395,213,908"
DZSI,DZS Inc. Common Stock,$12.81,0.13,1.025%,"395,021,483"
HCNE,Jaws Hurricane Acquisition Corp. Class A Common Stock,$9.98,0.01,0.10%,"394,521,875"
NGM,"NGM Biopharmaceuticals, Inc. Common Stock",$4.81,-0.21,-4.183%,"393,102,604"
LQDA,Liquidia Corporation Common Stock,$6.09,-0.28,-4.396%,"392,774,252"
CPSI,"Computer Programs and Systems, Inc. Common Stock",$27.05,-0.17,-0.625%,"392,607,406"
ENTF,Enterprise 4.0 Technology Acquisition Corp. Class A Ordinary Shares,$10.27,-0.01,-0.097%,"392,314,000"
MGNX,"MacroGenics, Inc. Common Stock",$6.36,-0.35,-5.216%,"390,982,406"
AGGR,Agile Growth Corp. Class A Ordinary Share,$10.08,-0.01,-0.099%,"390,600,000"
TRIN,Trinity Capital Inc. Common Stock,$11.08,0.15,1.372%,"389,685,617"
DHCA,DHC Acquisition Corp. Class A ordinary share,$10.0701,UNCH,--,"389,524,962"
PFHD,Professional Holding Corp. Class A Common stock,$28.18,0.44,1.586%,"389,290,553"
CECO,CECO Environmental Corp. Common Stock,$11.34,-0.34,-2.911%,"388,627,402"
WSBF,"Waterstone Financial, Inc. Common Stock (MD)",$17.51,0.27,1.566%,"388,551,645"
BRKH,BurTech Acquisition Corp. Class A Common Stock,$10.16,UNCH,--,"388,493,000"
CSTR,"CapStar Financial Holdings, Inc. Common Stock",$17.69,0.03,0.17%,"387,672,246"
PMVP,"PMV Pharmaceuticals, Inc. Common Stock",$8.48,-0.22,-2.529%,"387,242,829"
FANH,Fanhua Inc. American Depositary Shares,$7.19,-0.21,-2.838%,"386,207,895"
AMNB,"American National Bankshares, Inc. Common Stock",$36.36,-0.57,-1.543%,"385,807,343"
JMSB,"John Marshall Bancorp, Inc. Common Stock",$27.40,-1.38,-4.795%,"385,685,414"
CVRX,"CVRx, Inc. Common Stock",$18.73,0.38,2.071%,"385,541,373"
PPYA,Papaya Growth Opportunity Corp. I Class A Common Stock,$10.23,0.015,0.147%,"385,101,956"
KRNL,"Kernel Group Holdings, Inc. Class A Ordinary Shares",$10.10,UNCH,--,"384,746,875"
TARS,"Tarsus Pharmaceuticals, Inc. Common Stock",$14.42,-0.24,-1.637%,"384,612,951"
FSRX,FinServ Acquisition Corp. II Class A Common Stock,$10.04,-0.015,-0.149%,"384,532,000"
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,$10.23,-0.005,-0.049%,"383,622,443"
BRLT,"Brilliant Earth Group, Inc. Class A Common Stock",$4.05,-0.26,-6.032%,"383,393,177"
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.20,0.01,0.098%,"382,500,000"
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,$5.76,-0.19,-3.193%,"381,138,964"
EGRX,"Eagle Pharmaceuticals, Inc. Common Stock",$29.23,UNCH,--,"380,453,471"
GPAC,Global Partner Acquisition Corp II Class A Ordinary Share,$10.115,0.005,0.049%,"379,312,500"
INO,"Inovio Pharmaceuticals, Inc. Common Stock",$1.52,-0.04,-2.564%,"379,223,681"
EDAP,EDAP TMS S.A. American Depositary Shares,$10.44,-0.22,-2.064%,"377,356,963"
FISI,"Financial Institutions, Inc. Common Stock",$24.59,0.23,0.944%,"377,088,461"
HYZN,Hyzon Motors Inc. Class A Common Stock,$1.51,-0.04,-2.581%,"376,572,828"
GLUE,"Monte Rosa Therapeutics, Inc. Common Stock",$7.78,0.17,2.234%,"376,544,656"
PETS,"PetMed Express, Inc. Common Stock",$17.84,0.14,0.791%,"375,990,078"
MCBC,Macatawa Bank Corporation Common Stock,$10.97,-0.06,-0.544%,"375,681,725"
LXRX,"Lexicon Pharmaceuticals, Inc. Common Stock",$1.99,0.08,4.188%,"375,564,229"
GXII,GX Acquisition Corp. II Class A Common Stock,$10.005,-0.005,-0.05%,"375,187,500"
ATLC,Atlanticus Holdings Corporation Common Stock,$25.92,-0.28,-1.069%,"374,422,046"
NNOX,NANO-X IMAGING LTD Ordinary Shares,$7.13,-0.25,-3.388%,"372,670,484"
HTBI,"HomeTrust Bancshares, Inc. Common Stock",$23.81,-0.36,-1.489%,"372,103,823"
METC,"Ramaco Resources, Inc. Common Stock",$8.43,-0.36,-4.096%,"371,945,948"
ZEUS,"Olympic Steel, Inc. Common Stock",$33.40,-0.18,-0.536%,"371,739,729"
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,$6.36,-0.33,-4.933%,"371,533,755"
BLBD,Blue Bird Corporation Common Stock,$11.57,0.86,8.03%,"370,528,220"
PWUP,PowerUp Acquisition Corp. Class A Ordinary Shares,$10.30,UNCH,--,"370,156,250"
CYXT,"Cyxtera Technologies, Inc. Class A Common Stock",$2.06,0.14,7.292%,"370,012,064"
DMRC,Digimarc Corporation Common Stock,$18.43,-0.06,-0.324%,"369,262,651"
KPTI,Karyopharm Therapeutics Inc. Common Stock,$3.26,-0.14,-4.118%,"369,074,924"
ARQQ,Arqit Quantum Inc. Ordinary Shares,$3.00,-0.61,-16.898%,"368,025,741"
SCWO,374Water Inc. Common Stock,$2.90,0.04,1.399%,"367,374,596"
HORI,Emerging Markets Horizon Corp. Class A Ordinary Shares,$10.22,UNCH,--,"367,281,250"
LGTO,Legato Merger Corp. II Common Stock,$10.22,UNCH,--,"367,010,420"
IPVI,InterPrivate IV InfraTech Partners Inc. Class A Common Stock,$10.21,0.02,0.196%,"366,921,875"
SEER,"Seer, Inc. Class A Common Stock",$5.85,0.05,0.862%,"366,453,167"
CIIG,"CIIG Capital Partners II, Inc. Class A Common Stock",$10.19,UNCH,--,"366,203,125"
DRAY,Macondray Capital Acquisition Corp. I Class A Ordinary Shares,$10.19,UNCH,--,"366,203,125"
NSTG,"NanoString Technologies, Inc. Common Stock",$7.84,-0.13,-1.631%,"365,710,959"
DJCO,Daily Journal Corp. (S.C.) Common Stock,$264.77,14.26,5.692%,"364,595,174"
PFIS,Peoples Financial Services Corp. Common Stock,$50.82,-1.02,-1.968%,"363,881,262"
LX,LexinFintech Holdings Ltd. American Depositary Shares,$1.97,0.07,3.684%,"363,246,505"
TZPS,TZP Strategies Acquisition Corp. Class A Ordinary Share,$10.10,-0.006,-0.059%,"362,968,750"
RGC,Regencell Bioscience Holdings Limited Ordinary Shares,$27.89,UNCH,--,"362,928,833"
RMNI,"Rimini Street, Inc. (DE) Common Stock",$4.11,0.30,7.874%,"362,822,580"
WLFC,Willis Lease Finance Corporation Common Stock,$59.48,0.47,0.796%,"362,650,988"
SPKB,Silver Spike Acquisition Corp II Class A Ordinary Shares,$10.09,UNCH,--,"362,609,375"
APTM,Alpha Partners Technology Merger Corp. Class A Ordinary Shares,$10.02,-0.01,-0.10%,"362,498,550"
LOCO,"El Pollo Loco Holdings, Inc. Common Stock",$9.77,-0.19,-1.908%,"361,970,508"
XPDB,Power & Digital Infrastructure Acquisition II Corp. Class A Common Stock,$10.07,UNCH,--,"361,890,625"
LCAA,L Catterton Asia Acquisition Corp Class A Ordinary Shares,$10.10,UNCH,--,"361,717,279"
ARRW,Arrowroot Acquisition Corp. Class A common stock,$10.04,0.005,0.05%,"360,812,500"
BNFT,"Benefitfocus, Inc. Common Stock",$10.46,UNCH,--,"360,645,476"
SFST,"Southern First Bancshares, Inc. Common Stock",$45.05,-0.70,-1.53%,"360,280,347"
GAMC,Golden Arrow Merger Corp. Class A Common Stock,$10.02,0.005,0.05%,"360,093,750"
SCPL,SciPlay Corporation Class A Common Stock,$15.86,-0.22,-1.368%,"359,966,109"
TCX,Tucows Inc. Class A Common Stock,$33.25,-0.67,-1.975%,"358,880,218"
STOK,"Stoke Therapeutics, Inc. Common Stock",$9.09,-0.14,-1.517%,"358,425,490"
CHW,Calamos Global Dynamic Income Fund Common Stock,$5.61,0.03,0.538%,"358,279,211"
IRMD,iRadimed Corporation Common Stock,$28.48,0.19,0.672%,"357,889,249"
EVLV,"Evolv Technologies Holdings, Inc. Class A Common Stock",$2.47,-0.12,-4.633%,"357,220,233"
LGVC,LAMF Global Ventures Corp. I Class A Ordinary Shares,$10.25,UNCH,--,"357,103,163"
BLFY,Blue Foundry Bancorp Common Stock,$12.80,-0.05,-0.389%,"356,888,602"
ESAC,ESGEN Acquisition Corporation Class A Ordinary Shares,$10.34,UNCH,--,"356,730,000"
FMAO,"Farmers & Merchants Bancorp, Inc. Common Stock",$26.145,-1.035,-3.808%,"355,745,890"
UTMD,"Utah Medical Products, Inc. Common Stock",$97.76,-2.77,-2.755%,"354,632,514"
FWAC,Fifth Wall Acquisition Corp. III Class A Ordinary Shares,$10.05,0.01,0.10%,"354,584,100"
RXST,"RxSight, Inc. Common Stock",$12.78,0.11,0.868%,"354,282,457"
CZNC,Citizens & Northern Corp Common Stock,$22.84,-0.02,-0.087%,"354,029,501"
AKYA,"Akoya BioSciences, Inc. Common Stock",$9.31,-0.26,-2.717%,"353,369,029"
IMAB,I-MAB American Depositary Shares,$4.24,0.06,1.435%,"352,339,086"
TSVT,"2seventy bio, Inc. Common Stock ",$9.29,-0.08,-0.854%,"352,246,078"
TMKR,Tastemaker Acquisition Corp. Class A Common Stock,$10.18,UNCH,--,"351,210,000"
AURC,Aurora Acquisition Corp. Class A Ordinary Shares,$10.09,UNCH,--,"350,631,122"
TSP,TuSimple Holdings Inc. Class A Common Stock,$1.55,-0.09,-5.488%,"349,846,713"
ESQ,"Esquire Financial Holdings, Inc. Common Stock",$42.85,-0.41,-0.948%,"349,198,405"
SPWH,"Sportsman's Warehouse Holdings, Inc. Common Stock",$9.26,-0.15,-1.594%,"349,078,257"
ABUS,Arbutus Biopharma Corporation Common Stock,$2.23,-0.10,-4.292%,"348,921,600"
TLS,Telos Corporation Common Stock,$5.19,0.10,1.965%,"348,823,139"
NVSA,New Vista Acquisition Corp Class A Ordinary Shares,$10.10,0.005,0.05%,"348,450,000"
POW,Powered Brands Class A Ordinary Shares,$10.10,UNCH,--,"348,450,000"
OSUR,"OraSure Technologies, Inc. Common Stock",$4.79,-0.03,-0.622%,"347,859,586"
LGO,Largo Inc. Common Shares,$5.43,0.05,0.929%,"347,547,150"
EAC,Edify Acquisition Corp. Class A Common Stock,$10.06,-0.025,-0.248%,"347,070,000"
PMGM,Priveterra Acquisition Corp. Class A Common Stock,$10.06,0.01,0.10%,"347,070,000"
JUGG,Jaws Juggernaut Acquisition Corporation Class A Ordinary Share,$10.058,UNCH,--,"347,001,000"
IRAA,Iris Acquisition Corp Class A Common Stock,$10.05,-0.07,-0.692%,"346,725,000"
DISA,Disruptive Acquisition Corporation I Class A Ordinary Shares,$10.08,UNCH,--,"346,500,000"
BOOM,DMC Global Inc. Common Stock,$17.74,-1.70,-8.745%,"346,455,885"
BLEU,bleuacacia ltd Class A Ordinary Shares,$10.04,-0.02,-0.199%,"346,380,000"
GLAD,Gladstone Capital Corporation Common Stock,$9.75,0.13,1.351%,"346,341,889"
ADER,26 Capital Acquisition Corp. Class A Common Stock,$10.07,-0.065,-0.641%,"346,156,250"
AVNW,"Aviat Networks, Inc. Common Stock",$30.54,-0.65,-2.084%,"345,716,129"
SHBI,Shore Bancshares Inc Common Stock,$17.40,-0.03,-0.172%,"345,650,234"
FTAA,FTAC Athena Acquisition Corp. Class A Ordinary Share,$10.10,UNCH,--,"345,554,663"
EMLD,FTAC Emerald Acquisition Corp. Class A Common Stock,$10.01,-0.01,-0.10%,"344,950,246"
EM,Smart Share Global Limited American Depositary Shares,$1.3053,0.1652,14.49%,"343,863,106"
FEAM,"5E Advanced Materials, Inc. Common Stock",$7.83,-0.05,-0.635%,"343,652,217"
FTPA,FTAC Parnassus Acquisition Corp. Class A Common Stock,$10.02,-0.01,-0.10%,"343,218,397"
CISO,Cerberus Cyber Sentinel Corporation Common Stock,$2.34,-0.21,-8.235%,"342,233,295"
RRBI,"Red River Bancshares, Inc. Common Stock",$47.59,-3.47,-6.796%,"341,882,515"
LVRA,Levere Holdings Corp. Class A Ordinary Shares,$10.08,UNCH,--,"341,819,503"
ORGO,Organogenesis Holdings Inc. Class A Common Stock,$2.61,-0.08,-2.974%,"341,688,408"
PRTS,"CarParts.com, Inc. Common Stock",$6.26,UNCH,--,"341,542,470"
LYTS,LSI Industries Inc. Common Stock,$12.29,0.05,0.408%,"341,384,369"
VLGEA,"Village Super Market, Inc. Class A Common Stock",$23.52,0.23,0.988%,"341,331,507"
ONYX,Onyx Acquisition Co. I Class A Ordinary Shares,$10.32,UNCH,--,"341,205,000"
ALPN,"Alpine Immune Sciences, Inc. Common Stock",$7.43,0.08,1.088%,"341,144,237"
CMTL,Comtech Telecommunications Corp. Common Stock,$12.28,0.14,1.153%,"341,080,795"
NCACU,Newcourt Acquisition Corp Unit,$10.42,0.21,2.057%,"340,473,500"
GRIN,Grindrod Shipping Holdings Ltd. Ordinary Shares,$17.89,-0.82,-4.383%,"339,847,260"
CIVB,"Civista Bancshares, Inc. Common Stock",$21.52,-0.49,-2.226%,"338,452,787"
BBCP,"Concrete Pumping Holdings, Inc. Common Stock",$5.97,0.12,2.051%,"337,901,003"
MDXG,"MiMedx Group, Inc Common Stock",$2.97,0.19,6.835%,"337,594,492"
NCAC,Newcourt Acquisition Corp Class A Ordinary Share,$10.2701,-0.0099,-0.096%,"336,361,180"
SMTI,Sanara MedTech Inc. Common Stock,$40.50,-5.00,-10.989%,"336,301,025"
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,$5.94,0.14,2.414%,"336,251,615"
LOVE,The Lovesac Company Common Stock,$22.045,0.035,0.159%,"334,917,384"
BIRD,"Allbirds, Inc. Class A Common Stock",$2.24,-0.18,-7.438%,"334,550,969"
IVCA,Investcorp India Acquisition Corp. Class A Ordinary Share,$10.34,UNCH,--,"334,434,375"
SPCM,"Sound Point Acquisition Corp I, Ltd Class A Ordinary Share",$10.31,UNCH,--,"333,464,063"
PUCK,Goal Acquisitions Corp. Common Stock,$10.05,-0.01,-0.099%,"333,270,563"
LFAC,LF Capital Acquisition Corp. II Class A Common Stock,$10.29,0.03,0.292%,"332,817,188"
SPNE,SeaSpine Holdings Corporation Common Stock,$8.81,0.46,5.509%,"332,622,995"
GAMB,Gambling.com Group Limited Ordinary Shares,$9.12,-0.03,-0.328%,"332,581,767"
NWPX,Northwest Pipe Company Common Stock,$33.49,-0.21,-0.623%,"332,467,286"
INSE,"Inspired Entertainment, Inc. Common Stock",$12.85,0.18,1.421%,"332,393,481"
HBCP,"Home Bancorp, Inc. Common Stock",$40.10,0.07,0.175%,"332,093,523"
PEGR,Project Energy Reimagined Acquisition Corp. Class A Ordinary Share,$10.055,-0.015,-0.149%,"331,534,214"
BZUN,Baozun Inc. American Depositary Shares,$5.64,0.34,6.415%,"331,513,836"
WISH,ContextLogic Inc. Class A Common Stock,$0.4896,0.0019,0.39%,"331,459,200"
ICVX,"Icosavax, Inc. Common Stock",$8.30,0.36,4.534%,"331,173,345"
IOAC,Innovative International Acquisition Corp. Class A Ordinary Shares,$10.305,0.005,0.049%,"330,893,550"
NGMS,NeoGames S.A. Ordinary Shares,$12.91,0.72,5.906%,"330,411,233"
CAN,Canaan Inc. American Depositary Shares,$1.94,-0.12,-5.825%,"329,220,722"
SFIX,"Stitch Fix, Inc. Class A Common Stock",$2.97,-0.14,-4.502%,"329,099,926"
CMPS,COMPASS Pathways Plc American Depository Shares,$7.72,-0.31,-3.861%,"328,690,920"
ACNB,ACNB Corporation Common Stock,$38.52,-1.29,-3.24%,"327,822,072"
ALVR,"AlloVir, Inc. Common Stock",$5.23,0.10,1.949%,"327,760,821"
GGAA,Genesis Growth Tech Acquisition Corp. Class A Ordinary Shares,$10.36,UNCH,--,"327,635,000"
FNLC,"First Bancorp, Inc  (ME) Common Stock",$29.63,-0.31,-1.035%,"327,175,853"
GWRS,"Global Water Resources, Inc. Common Stock",$13.70,0.42,3.163%,"326,968,118"
CBNK,"Capital Bancorp, Inc. Common Stock",$23.23,-0.31,-1.317%,"326,559,093"
ATRO,Astronics Corporation Common Stock,$10.14,-0.16,-1.553%,"326,215,076"
NN,NextNav Inc. Common Stock,$3.06,0.13,4.437%,"325,535,374"
GFGD,The Growth for Good Acquisition Corporation Class A Ordinary Shares,$10.03,UNCH,--,"325,222,750"
PFTA,Portage Fintech Acquisition Corporation Class A Ordinary Share,$10.03,UNCH,--,"324,863,917"
BSRR,Sierra Bancorp Common Stock,$21.45,0.21,0.989%,"323,669,239"
AUTL,Autolus Therapeutics plc American Depositary Share,$1.87,-0.03,-1.579%,"323,621,186"
VPCB,VPC Impact Acquisition Holdings II Class A ordinary shre,$10.09,-0.01,-0.099%,"322,608,407"
VSTA,Vasta Platform Limited Class A Ordinary Shares,$3.90,-0.10,-2.50%,"322,158,693"
SKYT,"SkyWater Technology, Inc. Common Stock",$7.42,0.31,4.36%,"321,179,382"
DNAB,Social Capital Suvretta Holdings Corp. II Class A Ordinary Shares,$10.04,-0.02,-0.199%,"320,175,600"
DNAD,Social Capital Suvretta Holdings Corp. IV Class A Ordinary Shares,$10.04,-0.01,-0.10%,"320,175,600"
PNTG,"The Pennant Group, Inc. Common Stock ",$10.78,-0.20,-1.821%,"319,913,867"
NPAB,New Providence Acquisition Corp. II Class A Common Stock,$10.20,0.03,0.295%,"318,750,000"
CLIN,Clean Earth Acquisitions Corp. Class A Common Stock,$10.10,UNCH,--,"318,722,337"
TUSK,"Mammoth Energy Services, Inc. Common Stock",$6.73,-1.92,-22.197%,"318,411,577"
HLTH,Cue Health Inc. Common Stock,$2.13,0.06,2.899%,"318,291,089"
RCLF,Rosecliff Acquisition Corp I Class A Common Stock,$10.05,-0.05,-0.495%,"317,831,250"
ASTS,"AST SpaceMobile, Inc. Class A Common Stock",$4.46,-0.36,-7.469%,"317,598,785"
AFCG,"AFC Gamma, Inc. Common Stock",$15.57,-0.16,-1.017%,"317,067,480"
NVEC,NVE Corporation Common Stock,$65.57,0.82,1.266%,"316,757,261"
CTLP,"Cantaloupe, Inc. Common Stock",$4.36,0.01,0.23%,"315,921,458"
RDVT,"Red Violet, Inc. Common Stock ",$22.72,-0.30,-1.303%,"315,667,204"
PEPG,PepGen Inc. Common Stock,$13.33,-0.04,-0.299%,"315,013,547"
SLVR,SilverSPAC Inc. Class A Ordinary Share,$10.06,0.02,0.199%,"314,375,000"
SMMF,"Summit Financial Group, Inc. Common Stock",$24.58,-0.31,-1.245%,"314,169,565"
MGTX,MeiraGTx Holdings plc Ordinary Shares,$6.48,-0.04,-0.613%,"314,132,314"
MTAC,MedTech Acquisition Corporation Class A Common Stock,$10.05,0.02,0.199%,"314,062,500"
JGGC,Jaguar Global Growth Corporation I Class A Ordinary Shares,$10.23,0.01,0.098%,"313,720,003"
SCAQ,Stratim Cloud Acquisition Corp. Class A Common Stock,$10.02,0.01,0.10%,"313,125,000"
NBN,Northeast Bank Common Stock,$41.98,-0.12,-0.285%,"312,637,738"
CCCC,"C4 Therapeutics, Inc. Common Stock",$6.38,0.48,8.136%,"312,345,705"
SVII,Spring Valley Acquisition Corp. II Class A Ordinary Shares,$10.17,0.04,0.395%,"311,880,003"
ATRA,"Atara Biotherapeutics, Inc. Common Stock",$3.28,UNCH,--,"311,202,038"
HWEL,Healthwell Acquisition Corp. I Class A Common Stock,$9.94,0.03,0.303%,"310,625,000"
SATL,Satellogic Inc. Class A Ordinary Shares,$3.49,0.44,14.426%,"310,589,570"
NRIM,Northrim BanCorp Inc Common Stock,$54.53,-0.04,-0.073%,"309,994,816"
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,$10.26,UNCH,--,"309,723,750"
HRZN,Horizon Technology Finance Corporation Common Stock,$11.71,0.11,0.948%,"309,161,284"
PGEN,"Precigen, Inc. Common Stock",$1.48,-0.04,-2.632%,"308,062,031"
CDXS,"Codexis, Inc. Common Stock",$4.67,0.01,0.215%,"306,758,346"
CZFS,"Citizens Financial Services, Inc. Common Stock",$77.00,0.28,0.365%,"305,793,334"
FBIZ,"First Business Financial Services, Inc. Common Stock",$36.24,-0.31,-0.848%,"305,547,956"
NRAC,Noble Rock Acquisition Corporation Class A Ordinary Share,$10.12,0.02,0.198%,"305,497,500"
TIG,"Trean Insurance Group, Inc. Common Stock",$5.96,-0.04,-0.667%,"305,286,011"
SBT,"Sterling Bancorp, Inc. Common Stock",$6.00,-0.09,-1.478%,"304,800,072"
CNGL,Canna-Global Acquisition Corp. Class A Common Stock,$10.275,UNCH,--,"304,242,750"
BCAB,"BioAtla, Inc. Common Stock",$8.08,-0.17,-2.061%,"303,866,960"
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$10.1175,0.0075,0.074%,"303,525,000"
PDSB,PDS Biotechnology Corporation Common Stock,$10.62,-2.58,-19.545%,"302,762,267"
TGAN,"Transphorm, Inc. Common Stock",$5.34,-0.10,-1.838%,"302,472,098"
BCBP,"BCB Bancorp, Inc. (NJ) Common Stock",$17.89,-0.10,-0.556%,"302,189,293"
PBFS,"Pioneer Bancorp, Inc. Common Stock",$11.62,0.22,1.93%,"301,860,630"
BIOS,BioPlus Acquisition Corp. Class A Ordinary Shares,$10.27,0.05,0.489%,"301,013,700"
THCP,"Thunder Bridge Capital Partners IV, Inc. Class A Common Stock",$9.95,0.015,0.151%,"300,629,658"
AADI,"Aadi Bioscience, Inc. Common Stock",$12.31,-0.52,-4.053%,"300,303,890"
WHF,"WhiteHorse Finance, Inc. Common Stock",$12.92,-0.13,-0.996%,"300,300,697"
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,$15.295,0.105,0.691%,"300,274,407"
HNRG,Hallador Energy Company Common Stock,$9.10,-0.89,-8.909%,"300,141,706"
OYST,"Oyster Point Pharma, Inc. Common Stock",$11.17,0.02,0.179%,"299,850,742"
AFRI,Forafric Global PLC Ordinary Shares,$11.17,0.07,0.631%,"299,658,953"
GPP,Green Plains Partners LP Common Units,$12.89,-0.07,-0.54%,"299,651,536"
MCAA,Mountain & Co. I Acquisition Corp. Class A Ordinary Shares,$10.39,0.01,0.096%,"298,712,500"
TOAC,Talon 1 Acquisition Corp. Class A Ordinary Shares,$10.38,0.01,0.096%,"298,425,000"
SVFB,SVF Investment Corp. 2 Class A Ordinary Shares,$10.11,0.02,0.198%,"298,346,100"
TYRA,"Tyra Biosciences, Inc. Common Stock",$7.07,-0.53,-6.974%,"298,335,837"
RANI,"Rani Therapeutics Holdings, Inc. Class A Common Stock",$5.90,UNCH,--,"298,205,110"
MEKA,MELI Kaszek Pioneer Corp Class A Ordinary Shares,$10.03,0.05,0.501%,"298,141,750"
CITE,Cartica Acquisition Corp Class A Ordinary Shares,$10.37,UNCH,--,"298,137,500"
DTRT,DTRT Health Acquisition Corp. Class A Common Stock,$10.36,UNCH,--,"297,850,000"
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,$9.93,0.02,0.202%,"297,580,969"
