Symbol,Name,Last Sale,Net Change,% Change,Market Cap
MTCH,"Match Group, Inc. Common Stock",$41.06,-0.43,-1.036%,"11,468,308,712"
DOCU,"DocuSign, Inc. Common Stock",$56.75,1.33,2.40%,"11,410,957,899"
LBRDA,Liberty Broadband Corporation Class A Common Stock,$76.86,1.01,1.332%,"11,396,551,543"
HST,"Host Hotels & Resorts, Inc. Common Stock",$15.93,-0.12,-0.748%,"11,390,392,233"
LBRDK,Liberty Broadband Corporation Class C Common Stock,$76.79,0.52,0.682%,"11,386,172,170"
LCID,"Lucid Group, Inc. Common Stock",$6.17,-0.66,-9.663%,"11,280,673,953"
PSNY,Polestar Automotive Holding UK PLC Class A ADS,$5.32,0.01,0.188%,"11,221,893,870"
OKTA,"Okta, Inc. Class A Common Stock",$69.55,1.22,1.785%,"11,140,739,195"
PARA,Paramount Global Class B Common Stock,$17.07,0.19,1.126%,"11,081,407,196"
DOX,Amdocs Limited Ordinary Shares,$91.72,0.82,0.902%,"11,081,298,735"
SRPT,"Sarepta Therapeutics, Inc. Common Stock (DE)",$124.84,-4.74,-3.658%,"10,958,776,788"
CG,The Carlyle Group Inc. Common Stock,$29.99,0.15,0.503%,"10,904,523,457"
FCNCA,"First Citizens BancShares, Inc. Class A Common Stock",$751.42,-6.94,-0.915%,"10,898,385,282"
HSIC,"Henry Schein, Inc. Common Stock",$79.60,-0.27,-0.338%,"10,789,586,970"
REG,Regency Centers Corporation Common Stock,$62.83,0.33,0.528%,"10,751,640,498"
MKTX,"MarketAxess Holdings, Inc. Common Stock",$284.87,5.98,2.144%,"10,721,601,768"
PCTY,Paylocity Holding Corporation Common Stock,$192.53,-1.73,-0.891%,"10,718,893,849"
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$51.88,-0.73,-1.388%,"10,710,852,352"
NWS,News Corporation Class B Common Stock,$18.49,0.05,0.271%,"10,643,357,967"
BILI,Bilibili Inc. American Depositary Shares,$27.00,3.31,13.972%,"10,633,103,604"
CHRW,"C.H. Robinson Worldwide, Inc. Common Stock",$90.28,-1.28,-1.398%,"10,626,810,771"
BSY,"Bentley Systems, Incorporated Class B Common Stock",$36.73,-0.23,-0.622%,"10,592,664,348"
NWSA,News Corporation Class A Common Stock,$18.30,0.10,0.549%,"10,533,988,685"
BRKR,Bruker Corporation Common Stock,$69.07,0.72,1.053%,"10,159,003,747"
LOGI,Logitech International S.A. Ordinary Shares,$62.81,0.56,0.90%,"10,153,691,621"
WDC,Western Digital Corporation Common Stock,$31.41,-0.14,-0.444%,"9,977,395,766"
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$156.36,-2.95,-1.852%,"9,845,413,795"
FLEX,Flex Ltd. Ordinary Shares,$21.56,0.10,0.466%,"9,762,022,134"
WYNN,"Wynn Resorts, Limited Common stock",$85.61,3.14,3.807%,"9,700,776,526"
ARCC,Ares Capital Corporation Common Stock,$18.57,0.10,0.541%,"9,609,219,071"
ENTG,"Entegris, Inc. Common Stock",$64.13,-1.46,-2.226%,"9,557,587,872"
FIVE,"Five Below, Inc. Common Stock",$171.88,-4.99,-2.821%,"9,541,693,037"
LBTYK,Liberty Global plc Class C Ordinary Shares,$20.44,1.01,5.198%,"9,397,348,295"
WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock,$44.83,-0.34,-0.753%,"9,364,530,227"
LAMR,Lamar Advertising Company Class A Common Stock,$91.81,-2.59,-2.744%,"9,335,559,381"
EWBC,"East West Bancorp, Inc. Common Stock",$66.01,0.11,0.167%,"9,303,883,020"
MORN,"Morningstar, Inc. Common Stock",$218.13,1.54,0.711%,"9,258,786,988"
BZ,KANZHUN LIMITED American Depository Shares,$21.42,1.05,5.155%,"9,255,925,705"
LBTYA,Liberty Global plc Class A Ordinary Shares,$19.82,0.89,4.702%,"9,112,301,527"
CZR,"Caesars Entertainment, Inc. Common Stock",$42.26,0.66,1.587%,"9,067,563,597"
QRVO,"Qorvo, Inc. Common Stock",$89.14,-1.50,-1.655%,"9,037,857,623"
RGEN,Repligen Corporation Common Stock,$162.00,-7.31,-4.318%,"8,994,959,118"
COIN,"Coinbase Global, Inc. Class A Common Stock",$33.60,-1.79,-5.058%,"8,799,840,000"
LSCC,Lattice Semiconductor Corporation Common Stock,$64.11,-0.77,-1.187%,"8,786,879,288"
FFIV,"F5, Inc. Common Stock",$144.85,1.34,0.934%,"8,744,393,159"
LBTYB,Liberty Global plc Class B Ordinary Shares,$19.00,UNCH,--,"8,735,304,188"
EXAS,Exact Sciences Corporation Common Stock,$48.20,-1.31,-2.646%,"8,564,370,680"
HAS,"Hasbro, Inc. Common Stock",$61.95,0.94,1.541%,"8,556,145,078"
CBSH,"Commerce Bancshares, Inc. Common Stock",$67.61,-0.46,-0.676%,"8,472,898,587"
LECO,"Lincoln Electric Holdings, Inc. Common Shares",$146.18,1.69,1.17%,"8,440,199,312"
CGNX,Cognex Corporation Common Stock,$47.92,0.81,1.719%,"8,286,814,034"
AAL,American Airlines Group Inc. Common Stock,$12.74,0.02,0.157%,"8,279,737,300"
CASY,"Casey's General Stores, Inc. Common Stock",$220.95,-3.40,-1.515%,"8,232,292,531"
DBX,"Dropbox, Inc. Class A Common Stock",$22.68,0.30,1.34%,"8,226,861,053"
LEGN,Legend Biotech Corporation American Depositary Shares,$48.70,-1.22,-2.444%,"8,152,515,970"
OTEX,Open Text Corporation Common Shares,$30.08,0.44,1.484%,"8,128,675,839"
PAA,"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",$11.55,-0.21,-1.786%,"8,065,742,512"
Z,"Zillow Group, Inc. Class C Capital Stock",$33.68,1.47,4.564%,"8,006,630,137"
SEIC,SEI Investments Company Common Stock,$59.08,0.78,1.338%,"7,965,666,657"
CHDN,"Churchill Downs, Incorporated Common Stock",$210.25,-1.18,-0.558%,"7,864,037,307"
ZG,"Zillow Group, Inc. Class A Common Stock",$32.82,1.61,5.159%,"7,802,185,305"
XP,XP Inc. Class A Common Stock,$13.82,-1.52,-9.909%,"7,743,257,967"
MASI,Masimo Corporation Common Stock,$146.03,-1.92,-1.298%,"7,676,017,738"
RGLD,"Royal Gold, Inc. Common Stock",$116.83,4.11,3.646%,"7,669,154,639"
CELH,"Celsius Holdings, Inc. Common Stock",$100.47,-3.57,-3.431%,"7,658,345,944"
TTEK,"Tetra Tech, Inc. Common Stock",$143.13,-2.06,-1.419%,"7,583,190,998"
NFE,New Fortress Energy Inc. Class A Common Stock,$36.17,-3.25,-8.245%,"7,551,214,083"
MANH,"Manhattan Associates, Inc. Common Stock",$121.00,-0.40,-0.329%,"7,550,017,882"
DISH,DISH Network Corporation Class A Common Stock,$14.10,0.06,0.427%,"7,482,961,241"
HALO,"Halozyme Therapeutics, Inc. Common Stock",$55.13,-1.77,-3.111%,"7,454,295,888"
ESLT,Elbit Systems Ltd. Ordinary Shares,$167.98,3.94,2.402%,"7,448,939,724"
ACHC,"Acadia Healthcare Company, Inc. Common Stock",$81.48,-0.84,-1.02%,"7,412,782,575"
IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",$71.38,-0.97,-1.341%,"7,343,017,636"
ZION,Zions Bancorporation N.A. Common Stock,$48.46,-0.70,-1.424%,"7,250,476,359"
MIDD,Middleby Corporation (The) Common Stock,$133.65,-0.25,-0.187%,"7,201,532,715"
HOOD,"Robinhood Markets, Inc. Class A Common Stock",$8.08,-0.06,-0.737%,"7,165,024,848"
NVCR,NovoCure Limited Ordinary Shares,$67.94,-5.41,-7.376%,"7,130,308,571"
SBNY,Signature Bank Common Stock,$113.17,-2.05,-1.779%,"7,121,667,348"
PLUG,"Plug Power, Inc. Common Stock",$12.18,-0.19,-1.536%,"7,099,775,848"
XRAY,DENTSPLY SIRONA Inc. Common Stock,$32.69,0.85,2.67%,"7,025,469,553"
SWAV,"ShockWave Medical, Inc. Common Stock",$192.04,-13.57,-6.60%,"6,940,765,756"
ASND,Ascendis Pharma A/S American Depositary Shares,$120.72,-1.41,-1.155%,"6,884,328,413"
CNXC,Concentrix Corporation Common Stock,$132.94,-0.22,-0.165%,"6,868,931,365"
CAR,"Avis Budget Group, Inc. Common Stock",$164.75,0.82,0.50%,"6,831,591,377"
BOKF,BOK Financial Corporation Common Stock,$98.94,-4.85,-4.673%,"6,654,148,654"
KRTX,"Karuna Therapeutics, Inc. Common Stock",$193.19,-3.31,-1.684%,"6,638,544,889"
IRDM,Iridium Communications Inc Common Stock,$52.80,1.40,2.724%,"6,633,925,848"
CROX,"Crocs, Inc. Common Stock",$106.81,-1.62,-1.494%,"6,594,976,401"
GTLB,GitLab Inc. Class A Common Stock,$43.93,-1.51,-3.323%,"6,576,321,000"
NXST,"Nexstar Media Group, Inc. Common Stock",$174.24,-0.79,-0.451%,"6,570,319,108"
GNTX,Gentex Corporation Common Stock,$27.69,0.42,1.54%,"6,495,579,623"
