Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$18,127,810,142",0.61%,62.47,1.29,3.04,Analyze
CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$17,993,252,081",3.10%,0,0,0,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$17,991,150,322",1.61%,0,0,0,Analyze
WAT,Waters Corp,Common stocks,Large cap,Health Care,"$17,940,390,547",0.00%,0,0,0,Analyze
CTLT,Catalent Inc,Common stocks,Large cap,Health Care,"$17,921,163,550",0.00%,0,0,0,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$17,721,507,883",0.00%,0,0,0,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$17,666,487,219",0.77%,23.74,1.45,5.79,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$17,650,059,362",4.05%,0,0,0,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"$17,553,637,202",4.01%,10.11,0.91,1.95,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$17,537,986,114",3.06%,0,0,0,Analyze
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$17,482,091,029",0.00%,0,0,0,Analyze
TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$17,481,211,118",0.38%,0,0,0,Analyze
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$17,418,380,040",1.01%,0,0,0,Analyze
FMC,FMC Corp,Common stocks,Large cap,Materials,"$17,267,497,322",1.46%,0,0,0,Analyze
CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$17,265,639,089",3.77%,0,0,0,Analyze
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$17,217,422,760",0.03%,0,0,0,Analyze
CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$17,120,471,780",2.06%,0,0,0,Analyze
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$17,079,202,951",0.00%,0,0,0,Analyze
NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$16,999,559,874",2.60%,0,0,0,Analyze
EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$16,957,198,832",0.00%,0,0,0,Analyze
GNRC,Generac Holdings Inc,Common stocks,Large cap,Industrials,"$16,896,289,150",0.00%,0,0,0,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$16,867,345,868",0.00%,0,0,0,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$16,838,822,698",3.41%,0,0,0,Analyze
DISH,Dish Network Corp Class A,Common stocks,Large cap,Communication Services,"$16,716,057,286",0.00%,0,0,0,Analyze
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$16,490,422,764",0.78%,0,0,0,Analyze
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$16,360,747,645",3.06%,0,0,0,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$16,317,811,222",2.47%,0,0,0,Analyze
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$16,317,314,965",0.57%,0,0,0,Analyze
SBNY,Signature Bank,Common stocks,Large cap,Financials,"$16,291,369,801",0.83%,0,0,0,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$16,282,820,744",3.33%,0,0,0,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$16,278,959,695",2.16%,0,0,0,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$16,252,279,013",4.34%,36.1,3.62,18.99,Analyze
TECH,Bio-Techne Corp,Common stocks,Large cap,Health Care,"$16,216,226,839",0.31%,0,0,0,Analyze
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$16,209,381,151",2.50%,24.2,4.42,2.66,Analyze
